id,tags,category,region,longitude,latitude,datetime,light,weather,road_conditions,participants_count,participant_categories,severity,dead_count,injured_count,year,month,day,hour
2521760,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Брянская область,32.838371,53.061231,2020-12-24 08:50:00,Светлое время суток,Пасмурно,Обработанное противогололедными материалами,4,"Дети, Все участники",Легкий,0,3,2020,12,24,8
2736428,Дорожно-транспортные происшествия,Столкновение,Республика Башкортостан,55.898523,53.381191,2022-08-04 18:20:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Все участники,Легкий,0,1,2022,8,4,18
1725100,Дорожно-транспортные происшествия,Наезд на стоящее ТС,Краснодарский край,39.1183,45.03,2016-05-12 14:50:00,Светлое время суток,Пасмурно,Сухое,4,Все участники,Тяжёлый,0,3,2016,5,12,14
1924258,"Дорожно-транспортные происшествия, ДТП и пострадавшие пешеходы, из-за наезда на пешеходов, на пешеходных переходах, по вине пешеходов",Наезд на пешехода,Санкт-Петербург,30.6231,59.4506,2016-04-13 11:40:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Пешеходы, Все участники",Тяжёлый,0,1,2016,4,13,11
2142607,Дорожно-транспортные происшествия,Столкновение,Московская область,36.556944,56.436667,2015-08-16 13:30:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,"Мотоциклисты, Все участники",Тяжёлый,0,1,2015,8,16,13
1843445,Дорожно-транспортные происшествия,Опрокидывание,Республика Татарстан (Татарстан),48.76713,55.865017,2020-07-23 23:50:00,"В темное время суток, освещение включено",Пасмурно,Мокрое,1,Все участники,Тяжёлый,0,1,2020,7,23,23
2830363,Дорожно-транспортные происшествия,Столкновение,Волгоградская область,44.419119,48.615562,2023-04-11 17:20:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",4,Все участники,Легкий,0,1,2023,4,11,17
2365140,Дорожно-транспортные происшествия,Столкновение,Красноярский край,92.459435,58.249209,2018-04-03 22:10:00,"В темное время суток, освещение включено",Снегопад,Обработанное противогололедными материалами,2,Все участники,Тяжёлый,0,1,2018,4,3,22
2195584,Дорожно-транспортные происшествия,Столкновение,Ставропольский край,43.495,44.165,2017-08-12 16:00:00,Светлое время суток,Ясно,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Отсутствие дорожных знаков в необходимых местах",5,Все участники,Тяжёлый,0,4,2017,8,12,16
2435614,"Дорожно-транспортные происшествия, ДТП и пострадавшие дети в возрасте до 16 лет",Столкновение,Ростовская область,39.6747,47.2467,2016-06-01 17:25:00,Светлое время суток,Дождь,Мокрое,4,"Дети, Все участники",Тяжёлый,0,2,2016,6,1,17
1877535,Дорожно-транспортные происшествия,Столкновение,Ленинградская область,30.825201,59.798956,2018-07-10 14:45:00,Светлое время суток,Ясно,Сухое,3,Все участники,Тяжёлый,0,2,2018,7,10,14
2373353,Дорожно-транспортные происшествия,Столкновение,Красноярский край,93.022013,55.997769,2018-09-09 19:45:00,Светлое время суток,Пасмурно,"Сухое, Отсутствие дорожных знаков в необходимых местах",3,Все участники,Легкий,0,1,2018,9,9,19
2425791,Дорожно-транспортные происшествия,Столкновение,Ростовская область,40.0144,47.4217,2017-07-26 20:40:00,Светлое время суток,Ясно,Сухое,4,Все участники,Тяжёлый,0,2,2017,7,26,20
1611190,Дорожно-транспортные происшествия,Столкновение,Тамбовская область,41.459167,52.716389,2015-01-21 13:27:00,Светлое время суток,Пасмурно,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",3,Все участники,Легкий,0,1,2015,1,21,13
1929020,Дорожно-транспортные происшествия,Наезд на пешехода,Санкт-Петербург,30.1739,59.8472,2016-01-14 20:04:00,"В темное время суток, освещение отсутствует",Ясно,"Обработанное противогололедными материалами, Низкие сцепные качества покрытия, Отсутствие пешеходных ограждений в необходимых местах",2,"Пешеходы, Все участники",Тяжёлый,0,1,2016,1,14,20
